id,venue,category
991,Materials Chemistry and Physics,ISI Q1/Q2
1003,Journal of Alloys and Compounds,ISI Q1/Q2
1004,Journal of alloys and compounds,ISI Q1/Q2
1005,Journal of Applied Physics,ISI Q1/Q2
1007,Journal of Applied Physics,ISI Q1/Q2
1008,Journal of Alloys and Compounds,ISI Q1/Q2
1009,Progress In Electromagnetics Research,ISI Q1/Q2
1010,Journal of Electronic Materials,ISI Q1/Q2
1011,Journal of Applied Physics,ISI Q1/Q2
1012,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
1014,IEEE Transactions on Magnetics,ISI Q1/Q2
1015,IEEE Transactions on Magnetics,ISI Q1/Q2
1017,Current Applied Physics,ISI Q1/Q2
1018,Journal of Alloys and Compounds,ISI Q1/Q2
1019,Journal of Electronic Materials,ISI Q1/Q2
1020,IEEE Transactions on Magnetics,ISI Q1/Q2
1021,Ceramics International,ISI Q1/Q2
1022,Journal of Applied Physics,ISI Q1/Q2
1023,Materials Transactions,ISI Q1/Q2
1024,IEEE Transactions on Magnetics,ISI Q1/Q2
1025,IEEE Transactions on Magnetics,ISI Q1/Q2
1026,Journal of Applied Physics,ISI Q1/Q2
1027,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
1029,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
1030,Journal of Applied Physics,ISI Q1/Q2
1031,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
1033,IEEE Transactions on Magnetics,ISI Q1/Q2
1034,IEEE Transactions on Magnetics,ISI Q1/Q2
1035,IEEE transactions on magnetics,ISI Q1/Q2
1036,IEEE transactions on magnetics,ISI Q1/Q2
1038,Current Applied Physics,ISI Q1/Q2
1039,IEEE Transactions on Magnetics,ISI Q1/Q2
1040,Nanomaterials,ISI Q1/Q2
1041,Journal of Electronic Materials,ISI Q1/Q2
1042,Journal of Electronic Materials,ISI Q1/Q2
1045,Journal of Applied Physics,ISI Q1/Q2
1046,IEEE Transactions on Magnetics,ISI Q1/Q2
1048,Journal of Applied Physics,ISI Q1/Q2
1049,Journal of Applied Physics,ISI Q1/Q2
1050,Journal of Alloys and Compounds,ISI Q1/Q2
1051,IEEE transactions on magnetics,ISI Q1/Q2
1076,Optics express,ISI Q1/Q2
1077,Experimental Thermal and Fluid Science,ISI Q1/Q2
1078,Sensors and Actuators A: Physical,ISI Q1/Q2
1079,Sensors and Actuators B: Chemical,ISI Q1/Q2
1080,Microelectronics Journal,ISI Q1/Q2
1082,Smart Materials and structures,ISI Q1/Q2
1083,Sensors and Actuators A: Physical,ISI Q1/Q2
1084,Mechatronics,ISI Q1/Q2
1085,Flow Measurement and Instrumentation,ISI Q1/Q2
1087,RSC Advances,ISI Q1/Q2
1089,IEEE Sensors Journal,ISI Q1/Q2
1091,Journal of Micromechanics and Microengineering,ISI Q1/Q2
1096,Japanese Journal of Applied Physics,ISI Q1/Q2
1098,Sensors and Actuators A: Physical,ISI Q1/Q2
1099,Sensors and Actuators A: Physical,ISI Q1/Q2
1100,Japanese Journal of Applied Physics,ISI Q1/Q2
1103,Journal of Aerosol Science,ISI Q1/Q2
1104,International Journal of Mechanical Sciences,ISI Q1/Q2
1105,2016 IEEE SENSORS,ISI Q1/Q2
1110,Carbon,ISI Q1/Q2
1111,Biomicrofluidics,ISI Q1/Q2
1117,IEEE Transactions on Dielectrics and Electrical Insulation,ISI Q1/Q2
1118,Sensors and Actuators A: Physical,ISI Q1/Q2
1123,BioChip Journal,ISI Q1/Q2
1124,Experimental Thermal and Fluid Science,ISI Q1/Q2
1125,2016 IEEE SENSORS,ISI Q1/Q2
1128,IEEE Electron Device Letters,ISI Q1/Q2
1139,IEEE Transactions on Biomedical Circuits and Systems,ISI Q1/Q2
1140,IEEE Sensors Journal,ISI Q1/Q2
1148,Sensors and Actuators A: Physical,ISI Q1/Q2
1149,Sensors and Actuators A: Physical,ISI Q1/Q2
1188,Physics of Fluids,ISI Q1/Q2
1192,Physics of Fluids,ISI Q1/Q2
1195,Physics of Fluids,ISI Q1/Q2
1203,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,ISI Q1/Q2
1204,Hydrology and Earth System Sciences,ISI Q1/Q2
1206,Remote Sensing,ISI Q1/Q2
1273,Molecular biology and evolution,ISI Q1/Q2
1274,Cladistics,ISI Q1/Q2
1275,Molecular biology and evolution,ISI Q1/Q2
1276,Bioinformatics,ISI Q1/Q2
1279,Human mutation,ISI Q1/Q2
1280,BMC bioinformatics,ISI Q1/Q2
1284,Bioinformatics,ISI Q1/Q2
1286,American journal of medical genetics Part A,ISI Q1/Q2
1289,BMC bioinformatics,ISI Q1/Q2
1290,Molecular biology and evolution,ISI Q1/Q2
1292,Scientific reports,ISI Q1/Q2
1296,Journal of biosciences,ISI Q1/Q2
1298,Systematic Biology,ISI Q1/Q2
1314,Systematic Biology,ISI Q1/Q2
1317,Automation in Construction,ISI Q1/Q2
1318,Robotica,ISI Q1/Q2
1322,IEEE Systems Journal,ISI Q1/Q2
1324,IEEE Transactions on Image Processing,ISI Q1/Q2
1330,IEEE Access,ISI Q1/Q2
1332,IEEE Systems Journal,ISI Q1/Q2
1354,Sustainability,ISI Q1/Q2
1366,Journal of Neural Engineering,ISI Q1/Q2
1372,IEEE Transactions on Signal Processing,ISI Q1/Q2
1383,IEEE Transactions on Signal Processing,ISI Q1/Q2
1384,IEEE Transactions on Wireless Communications,ISI Q1/Q2
1389,IEEE Transactions on Signal Processing,ISI Q1/Q2
1397,Digital Signal Processing,ISI Q1/Q2
1404,Simulation,ISI Q1/Q2
1418,IEEE Journal of Selected Topics in Signal Processing,ISI Q1/Q2
1444,Biomedical Signal Processing and Control,ISI Q1/Q2
1458,Medical Physics,ISI Q1/Q2
1459,IEEE Access,ISI Q1/Q2
1465,Molecular biology and evolution,ISI Q1/Q2
1466,Nature communications,ISI Q1/Q2
1467,Frontiers in chemistry,ISI Q1/Q2
1471,BMC Medical Genomics,ISI Q1/Q2
1477,IEEE Transactions on Antennas and Propagation,ISI Q1/Q2
1511,International journal of biological sciences,ISI Q1/Q2
1512,Bioinformatics,ISI Q1/Q2
1513,Bioinformatics,ISI Q1/Q2
1514,Nucleic Acids Research,ISI Q1/Q2
1519,Scientific reports,ISI Q1/Q2
1522,BMC bioinformatics,ISI Q1/Q2
1523,Current topics in medicinal chemistry,ISI Q1/Q2
1524,Annals of translational medicine,ISI Q1/Q2
1535,European Journal of Mechanics-A/Solids,ISI Q1/Q2
1536,European Journal of Mechanics-A/Solids,ISI Q1/Q2
1537,International Journal of Mechanical Sciences,ISI Q1/Q2
1538,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
1540,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
1541,Advanced Composite Materials,ISI Q1/Q2
1542,Journal of Sandwich Structures & Materials,ISI Q1/Q2
1548,Composite Structures,ISI Q1/Q2
1549,International Journal of Mechanical Sciences,ISI Q1/Q2
1550,Journal of Sandwich Structures & Materials,ISI Q1/Q2
1551,Journal of Thermal Stresses,ISI Q1/Q2
1552,Journal of Sandwich Structures & Materials,ISI Q1/Q2
1556,Aerospace Science and Technology,ISI Q1/Q2
1557,Aerospace science and technology,ISI Q1/Q2
1558,International Journal of Mechanical Sciences,ISI Q1/Q2
1559,Journal of Thermal Stresses,ISI Q1/Q2
1560,Aerospace Science and Technology,ISI Q1/Q2
1561,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
1562,Composite Structures,ISI Q1/Q2
1563,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
1565,Acta tropica,ISI Q1/Q2
1566,European Journal of Mechanics-A/Solids,ISI Q1/Q2
1571,Journal of Sandwich Structures & Materials,ISI Q1/Q2
1574,Thin-Walled Structures,ISI Q1/Q2
1575,Journal of Sandwich Structures & Materials,ISI Q1/Q2
1586,Journal of Thermal Stresses,ISI Q1/Q2
1600,Composite Structures,ISI Q1/Q2
1601,Composite Structures,ISI Q1/Q2
1602,Thin-Walled Structures,ISI Q1/Q2
1603,European Journal of Mechanics-A/Solids,ISI Q1/Q2
1604,Thin-Walled Structures,ISI Q1/Q2
1605,Journal of Sandwich Structures & Materials,ISI Q1/Q2
1608,Aerospace Science and Technology,ISI Q1/Q2
1609,Journal of Sandwich Structures & Materials,ISI Q1/Q2
1610,Composite Structures,ISI Q1/Q2
1612,Applied Mathematical Modelling,ISI Q1/Q2
1613,Composite Structures,ISI Q1/Q2
1614,Composite Structures,ISI Q1/Q2
1615,Composite Structures,ISI Q1/Q2
1616,Aerospace Science and Technology,ISI Q1/Q2
1617,International Journal of Mechanical Sciences,ISI Q1/Q2
1618,Advances in Engineering Software,ISI Q1/Q2
1619,Journal of Thermal Stresses,ISI Q1/Q2
1620,Journal of Vibration and Control,ISI Q1/Q2
1621,Composite Structures,ISI Q1/Q2
1622,European Journal of Mechanics-A/Solids,ISI Q1/Q2
1623,Composite Structures,ISI Q1/Q2
1624,International Journal of Mechanical Sciences,ISI Q1/Q2
1625,Composite Structures,ISI Q1/Q2
1626,International Journal of Mechanical Sciences,ISI Q1/Q2
1629,Journal of Thermal Stresses,ISI Q1/Q2
1630,Thin-Walled Structures,ISI Q1/Q2
1632,Computational Materials Science,ISI Q1/Q2
1633,European Journal of Mechanics-A/Solids,ISI Q1/Q2
1634,Journal of Vibration and Control,ISI Q1/Q2
1635,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
1636,Journal of Thermal Stresses,ISI Q1/Q2
1637,Journal of Applied Physics,ISI Q1/Q2
1638,Composite Structures,ISI Q1/Q2
1639,Composite Structures,ISI Q1/Q2
1640,Journal of Sandwich Structures & Materials,ISI Q1/Q2
1641,Composite Structures,ISI Q1/Q2
1644,International Journal of Mechanical Sciences,ISI Q1/Q2
1645,Acta Mechanica,ISI Q1/Q2
1646,Aerospace Science and Technology,ISI Q1/Q2
1648,Composite Structures,ISI Q1/Q2
1649,European Journal of Mechanics-A/Solids,ISI Q1/Q2
1650,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
1652,Thin-Walled Structures,ISI Q1/Q2
1653,Acta Mechanica,ISI Q1/Q2
1654,Journal of Vibration and Control,ISI Q1/Q2
1656,Thin-Walled Structures,ISI Q1/Q2
1657,Science and Engineering of Composite Materials,ISI Q1/Q2
1658,Journal of Thermal Stresses,ISI Q1/Q2
1660,Thin-Walled Structures,ISI Q1/Q2
1661,Aerospace Science and Technology,ISI Q1/Q2
1664,European Journal of Mechanics-A/Solids,ISI Q1/Q2
1665,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
1666,Computational materials science,ISI Q1/Q2
1669,Journal of Combinatorial Optimization,ISI Q1/Q2
1671,Signal Processing,ISI Q1/Q2
1672,Journal of Combinatorial Optimization,ISI Q1/Q2
1679,IEEE Access,ISI Q1/Q2
1881,IEEE Sensors Journal,ISI Q1/Q2
1891,Applied Soft Computing,ISI Q1/Q2
1899,Applied Soft Computing,ISI Q1/Q2
1935,PloS one,ISI Q1/Q2
1959,Journal of magnetism and magnetic materials,ISI Q1/Q2
1960,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
1962,Journal of applied physics,ISI Q1/Q2
1964,Journal of magnetism and magnetic materials,ISI Q1/Q2
1965,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
1966,Journal of magnetism and magnetic materials,ISI Q1/Q2
1969,Journal of Applied Physics,ISI Q1/Q2
1970,Journal of magnetism and magnetic materials,ISI Q1/Q2
1972,Journal of magnetism and magnetic materials,ISI Q1/Q2
1973,Journal of magnetism and magnetic materials,ISI Q1/Q2
1974,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
1975,Journal of magnetism and magnetic materials,ISI Q1/Q2
1979,Journal of magnetism and magnetic materials,ISI Q1/Q2
1980,Journal of applied physics,ISI Q1/Q2
1983,Journal of magnetism and magnetic materials,ISI Q1/Q2
1984,Journal of Applied Physics,ISI Q1/Q2
1989,Journal of applied physics,ISI Q1/Q2
1992,Journal of magnetism and magnetic materials,ISI Q1/Q2
1993,Journal of magnetism and magnetic materials,ISI Q1/Q2
1995,Journal of magnetism and magnetic materials,ISI Q1/Q2
1996,Journal of magnetism and magnetic materials,ISI Q1/Q2
1997,Journal of magnetism and magnetic materials,ISI Q1/Q2
2001,IEEE transactions on magnetics,ISI Q1/Q2
2003,Applied Physics Letters,ISI Q1/Q2
2004,Journal of alloys and compounds,ISI Q1/Q2
2005,Journal of magnetism and magnetic materials,ISI Q1/Q2
2007,Journal of Applied Physics,ISI Q1/Q2
2009,Journal of magnetism and magnetic materials,ISI Q1/Q2
2013,Applied physics letters,ISI Q1/Q2
2014,Journal of magnetism and magnetic materials,ISI Q1/Q2
2015,Journal of magnetism and magnetic materials,ISI Q1/Q2
2019,Journal of magnetism and magnetic materials,ISI Q1/Q2
2021,Journal of magnetism and magnetic materials,ISI Q1/Q2
2022,Journal of magnetism and magnetic materials,ISI Q1/Q2
2025,Journal of magnetism and magnetic materials,ISI Q1/Q2
2035,Physical Communication,ISI Q1/Q2
2037,EURASIP Journal on Wireless Communications and Networking,ISI Q1/Q2
2052,Physical Communication,ISI Q1/Q2
2054,IEEE Magnetics Letters,ISI Q1/Q2
2067,Journal of microelectromechanical systems,ISI Q1/Q2
2068,IEEE sensors journal,ISI Q1/Q2
2069,Journal of Microelectromechanical Systems,ISI Q1/Q2
2080,Journal of Microelectromechanical systems,ISI Q1/Q2
2083,Applied Physics Letters,ISI Q1/Q2
2085,Applied Physics Letters,ISI Q1/Q2
2090,Journal of Applied Physics,ISI Q1/Q2
2101,Analyst,ISI Q1/Q2
2150,Journal of Biomedical Semantics,ISI Q1/Q2
2173,Polycyclic Aromatic Compounds,ISI Q1/Q2
2189,IEEE Transactions on Wireless Communications,ISI Q1/Q2
2215,Medical physics,ISI Q1/Q2
2216,PloS one,ISI Q1/Q2
2217,Medical physics,ISI Q1/Q2
2225,European radiology,ISI Q1/Q2
2228,Medical Physics,ISI Q1/Q2
2232,MEDICAL PHYSICS,ISI Q1/Q2
2255,Extreme Mechanics Letters,ISI Q1/Q2
2261,IEEE Transactions on Emerging Topics in Computing,ISI Q1/Q2
2265,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,ISI Q1/Q2
2266,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,ISI Q1/Q2
2277,IEEE Access,ISI Q1/Q2
2286,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,ISI Q1/Q2
2287,IEEE Access,ISI Q1/Q2
2292,Frontiers in Neuroscience,ISI Q1/Q2
2300,IEEE Access,ISI Q1/Q2
2318,IEEE transactions on broadcasting,ISI Q1/Q2
2323,IET Image Processing,ISI Q1/Q2
2327,Electronics letters,ISI Q1/Q2
2329,IEEE Transactions on Broadcasting,ISI Q1/Q2
2344,Electronics,ISI Q1/Q2
2345,Electronics,ISI Q1/Q2
2352,Electronics,ISI Q1/Q2
2353,IEEE Access,ISI Q1/Q2
2354,IEEE Signal Processing Letters,ISI Q1/Q2
2366,IEEE Sensors Journal,ISI Q1/Q2
2372,IEEE Sensors Journal,ISI Q1/Q2
2374,IEEE Network,ISI Q1/Q2
2455,Journal of Vibration and Control,ISI Q1/Q2
2467,IEEE Access,ISI Q1/Q2
2482,IEEE communications letters,ISI Q1/Q2
2523,Lab on a Chip,ISI Q1/Q2
2532,Japanese Journal of Applied Physics,ISI Q1/Q2
2564,American Journal of Transplantation,ISI Q1/Q2
2565,Aerospace Science and Technology,ISI Q1/Q2
2569,Composite Structures,ISI Q1/Q2
2570,Thin-Walled Structures,ISI Q1/Q2
2571,Journal of Vibration and Control,ISI Q1/Q2
2573,Composite Structures,ISI Q1/Q2
2575,Composite Structures,ISI Q1/Q2
2576,Science and Engineering of Composite Materials,ISI Q1/Q2
2577,Thin-Walled Structures,ISI Q1/Q2
2578,Journal of Sandwich Structures & Materials,ISI Q1/Q2
2581,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
2584,International Journal of Mechanics and Materials in Design,ISI Q1/Q2
2585,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
2588,Aerospace Science and Technology,ISI Q1/Q2
2590,Mechanics of Advanced Materials and Structures,ISI Q1/Q2
2591,Polymers,ISI Q1/Q2
2595,In Vitro Cellular & Developmental Biology-Animal,ISI Q1/Q2
2596,Thin-Walled Structures,ISI Q1/Q2
2597,Journal of Sandwich Structures & Materials,ISI Q1/Q2
2600,Computational materials science,ISI Q1/Q2
2603,Acta Mechanica,ISI Q1/Q2
2609,Composite Structures,ISI Q1/Q2
2610,Thin-Walled Structures,ISI Q1/Q2
2619,Thin-Walled Structures,ISI Q1/Q2
2620,Thin-Walled Structures,ISI Q1/Q2
2621,Thin-Walled Structures,ISI Q1/Q2
2622,European Journal of Mechanics-A/Solids,ISI Q1/Q2
2623,Acta Mechanica,ISI Q1/Q2
2628,Composite Structures,ISI Q1/Q2
2645,Thin Solid Films,ISI Q1/Q2
2650,Journal of magnetism and magnetic materials,ISI Q1/Q2
2652,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
2686,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
2687,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
2688,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
2690,Journal of magnetism and magnetic materials,ISI Q1/Q2
2696,Journal of Applied Physics,ISI Q1/Q2
2700,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
2701,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
2702,Journal of Magnetism and Magnetic Materials,ISI Q1/Q2
2703,Journal of Applied Physics,ISI Q1/Q2
2704,Journal of magnetism and magnetic materials,ISI Q1/Q2
2707,Journal of Magnetism and Magnetic Materials;(Netherlands),ISI Q1/Q2
2721,2016 IEEE SENSORS,ISI Q1/Q2
2724,Applied Mathematical Modelling,ISI Q1/Q2
2740,Applied Surface Science,ISI Q1/Q2
2748,International Journal of Mechanics and Materials in Design,ISI Q1/Q2
2749,Journal of Thermal Stresses,ISI Q1/Q2
2750,Composite Structures,ISI Q1/Q2
2751,Composite Structures,ISI Q1/Q2
2834,Environmental Research Letters,ISI Q1/Q2
2835,Frontiers in Marine Science,ISI Q1/Q2
2838,Remote Sensing Letters,ISI Q1/Q2
2840,Remote Sensing,ISI Q1/Q2
2852,Remote Sensing Letters,ISI Q1/Q2
2859,International Journal of Remote Sensing,ISI Q1/Q2
2861,Environmental Science and Pollution Research,ISI Q1/Q2
2891,International Journal of Remote Sensing,ISI Q1/Q2
2901,BioChip Journal,ISI Q1/Q2
2904,Journal of Aerosol Science,ISI Q1/Q2
2906,2016 IEEE SENSORS,ISI Q1/Q2
2907,Biomicrofluidics,ISI Q1/Q2
2910,BioChip Journal,ISI Q1/Q2
2912,2016 IEEE SENSORS,ISI Q1/Q2
2915,IEEE Electron Device Letters,ISI Q1/Q2
2918,IEEE Transactions on Biomedical Circuits and Systems,ISI Q1/Q2
2919,IEEE Sensors Journal,ISI Q1/Q2
2925,Sensors and Actuators A: Physical,ISI Q1/Q2
2926,Sensors and Actuators A: Physical,ISI Q1/Q2
3008,IEEE Transactions on Knowledge and Data Engineering,ISI Q1/Q2
3039,Optical Materials Express,ISI Q1/Q2
3046,Applied Sciences,ISI Q1/Q2
3061,MATERIALS TRANSACTIONS,ISI Q1/Q2
3067,Journal of Alloys and Compounds,ISI Q1/Q2
3068,Journal of Alloys and Compounds,ISI Q1/Q2
3084,IEEE Transactions on Biomedical Circuits and Systems,ISI Q1/Q2
3085,IEEE Sensors Journal,ISI Q1/Q2
3090,Swarm Intelligence,ISI Q1/Q2
3095,Formal Methods in System Design,ISI Q1/Q2
3133,JOURNAL OF INFORMATION,ISI Q1/Q2
3138,Journal of neural engineering,ISI Q1/Q2
3145,IEEE Transactions on Signal Processing,ISI Q1/Q2
3148,Signal Processing,ISI Q1/Q2
3156,Bioinformatics,ISI Q1/Q2
3157,BMC bioinformatics,ISI Q1/Q2
3159,Journal of biosciences,ISI Q1/Q2
3161,Systematic Biology,ISI Q1/Q2
3167,IEEE Transactions on Signal Processing,ISI Q1/Q2
3168,Digital Signal Processing,ISI Q1/Q2
3169,Journal of neural engineering,ISI Q1/Q2
3173,IEEE Journal of Selected Topics in Signal Processing,ISI Q1/Q2
3178,IEEE Transactions on Signal Processing,ISI Q1/Q2
3186,Journal of biosciences,ISI Q1/Q2
3196,Database: the journal of biological databases and curation,ISI Q1/Q2
3203,Acta Mechanica,ISI Q1/Q2
3204,Steel and Composite Structures,ISI Q1/Q2
3205,Thin-Walled Structures,ISI Q1/Q2
3210,International Journal of Structural Stability and Dynamics,ISI Q1/Q2
3211,International Journal of Mechanical Sciences,ISI Q1/Q2
3212,Steel and Composite Structures,ISI Q1/Q2
3215,Journal of Mechanical Science and Technology,ISI Q1/Q2
3216,Journal of Sandwich Structures & Materials,ISI Q1/Q2
3219,Thin-walled structures,ISI Q1/Q2
3220,Journal of Sandwich Structures & Materials,ISI Q1/Q2
